price,size,rooms,toilets,suites,parking_spots,elevator,furnished,swimming_pool,district,nearest_station_distance,distance_to_city_center
1100,60,2,2,1,1,0,0,0,Cangaíba,2097.929289428665,12865.406423903416
2200,50,2,2,1,1,1,1,1,Carrão,1828.6073225783796,12891.744944481201
2108,70,2,2,1,1,1,0,1,Carrão,2118.5036755602473,10646.383204520691
4050,105,3,4,3,2,0,0,1,Carrão,2198.2455665338807,11241.306935387349
1400,50,2,2,1,1,1,0,0,Carrão,1761.7215385394131,12704.53493232134
4500,125,3,2,1,2,0,0,0,Carrão,810.0045661305228,10900.78110598267
4530,126,3,4,3,2,1,0,1,Carrão,1594.5774700861884,10425.142492605086
4080,98,2,1,2,2,0,0,1,Carrão,1374.3365252968927,10942.83121987082
1695,49,2,2,1,1,0,0,0,Carrão,1828.6073225783796,12891.744944481201
2674,65,2,2,1,1,1,0,1,Carrão,253.85028609369544,8246.215740126565
1880,62,2,2,1,1,1,0,1,Carrão,2339.708568395629,11883.090702508218
1910,64,2,2,1,1,0,0,0,Carrão,1794.8663750479127,11990.588040877527
4530,126,3,5,3,2,1,0,1,Carrão,1341.9539757480686,10611.890750093848
